Rank Tertinggi,score,Koleksi,Jumlah Skin,score_kolektor,Winrate keseluruhan,score,total match,score, Harga ,
Legend I,2,Kolektor Ternama IV ,227,24,66.34,5,6523,4," Rp250,000.00 ",
Legend I,2,,,0,65.99,5,2480,2,,
Mythic (19 Bintang),3,Kolektor Juragan II ,637,32,47.97,1,1248,1," Rp3,000,000.00 ",
Epic III,1,Kolektor Juragan III ,517,33,58.57,3,840,1," Rp2,600,000.00 ",
Mythical Honor (28 Bintang),4,Kolektor Sultan ,638,36,53.89,2,1260,1," Rp5,000,000.00 ",
Epic III,1,Kolektor Juragan IV ,467,34,60.65,4,3866,3," Rp2,100,000.00 ",
Epic IV,1,Kolektor Ternama IV ,177,24,57.69,3,6725,4," Rp419,000.00 ",
Mythic (6 Bintang),3,Kolektor Ahli II ,217,17,45,1,1719,2," Rp180,000.00 ",
Epic II,1,Kolektor Terhormat V ,326,30,52.56,2,5261,4," Rp650,000.00 ",
Legend II,2,Kolektor Ternama I ,350,21,56.39,3,7190,4,,
Mythic (12 Bintang),3,Kolektor Terhormat IV ,306,29,45,1,9058,5," Rp800,000.00 ",
Epic III,1,Kolektor terhormat III ,401,0,57.91,3,1093,1," Rp820,000.00 ",
Mythic (10 Bintang),3,Kolektor Terhormat III,,28,45,1,1461,1," Rp480,000.00 ",
Epic II,1,Kokektor TernamaIII ,293,0,48.24,1,10877,5," Rp320,000.00 ",
Legend III,2,Kolektor Terhormat I ,441,26,63.22,4,4758,3," Rp1,000,000.00 ",
Legend II,2,Kolektor Terhormat IV ,352,29,47.65,1,11422,5," Rp750,000.00 ",
Mythic (3 Bintang),3,Kolektor Ternama IV ,253,24,57.85,3,912,1," Rp300,000.00 ",
Mythical Honor (31 Bintang),4,Kolektor Ternama V,232,25,45,1,2805,2," Rp250,000.00 ",
Legend IV,2,Kolektor Terhormat V ,381,30,68.41,5,2343,2," Rp750,000.00 ",
Mythical Glory (63 Bintang),5,Kolektor Ternama III ,241,23,51.7,2,3677,3," Rp400,000.00 ",
Mythic (10 Bintang),3,Kolektor Ternama III ,350,23,53.6,2,3274,3," Rp349,000.00 ",
Legend II,2,Kolektor Terhormat I ,436,26,51.92,2,11029,5," Rp1,350,000.00 ",
Mythic (5 Bintang),3,Kolektor Juragan V ,505,35,50.15,2,912,1," Rp1,700,000.00 ",
Epic II,1,Kolektor Ternama V ,217,25,64.44,4,1366,1," Rp240,000.00 ",
Legend IV,2,Kolektor Terhormat V ,381,30,51.24,2,3579,3," Rp800,000.00 ",
Legend I,2,Kolektor Ternama III ,284,23,51.31,2,11822,5," Rp320,000.00 ",
Mythical Honor (35 Bintang),4,Kolektor Juragan IV ,455,34,47.68,1,777,1," Rp2,500,000.00 ",
Legend II,2,Kolektor Juragan IV ,596,34,62.99,4,10714,5," Rp1,200,000.00 ",
Legend I,2,HB,,0,56.31,3,2789,2," Rp1,600,000.00 ",
Mythic (4 Bintang),3,Kolektor Terhormat IV ,290,29,47.38,1,885,1," Rp850,000.00 ",
Mythic (10 Bintang),3,Kolektor Ternama 1 ,303,21,48.96,1,1515,2," Rp570,000.00 ",
Mythical Glory (77 Bintang),5,Kolektor Ternama II ,263,22,55.13,3,1533,2," Rp370,000.00 ",
Mythic (1 Bintang),3,Kolektor Terhormat II ,411,27,48.53,1,11756,5," Rp800,000.00 ",
Legend IV,2,Kolektor Terhormat III ,411,28,50.94,2,11893,5," Rp820,000.00 ",
Legend I,2,HB,,0,57.67,3,981,1," Rp430,000.00 ",
Legend I,2,Kolektor Ternama I ,332,21,45,1,3436,3," Rp350,000.00 ",
Legend I,2,HB,,0,52.15,2,5144,4," Rp300,000.00 ",
Legend II,2,Kolektor Ternama II ,270,22,51.88,2,1687,2," Rp400,000.00 ",
Epic V,1,Kolektor Ternama I ,302,21,50.87,2,1268,1," Rp500,000.00 ",
Mythic (23 Bintang),3,Kolektor Terhormat IV ,406,29,52.53,2,629,1," Rp600,000.00 ",
Legend II,2,Kolektor Ternama I ,257,21,58.88,3,4018,3," Rp650,000.00 ",
Mythic (23 Bintang),3,Kolektor Ternama IV ,174,24,52.06,2,2790,2," Rp570,000.00 ",
Epic II,1,Kolektor Terhormat II ,429,27,52.12,2,8833,5," Rp1,770,000.00 ",
Legend II,2,Kolektor Ternama I ,256,21,45,1,10486,5," Rp440,000.00 ",
Mythic (15 Bintang),3,Kolektor Terhormat,,0,55.16,3,2758,2," Rp600,000.00 ",
Mythic (9 Bintang),3,Kolektor Ternama II ,258,22,56.81,3,3825,3," Rp350,000.00 ",
Mythic (6 Bintang),3,Kolektor Juragan V ,,35,45,1,2853,2," Rp1,820,000.00 ",
Legend V,2,Kolektor Terhormat IV ,373,29,49.98,1,4025,3," Rp570,000.00 ",
